time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.0289394937e-04,5.00000000e-03
0.06000000,-8.2539535132e-05,5.00000000e-03
0.06500000,-1.5526647208e-04,5.00000000e-03
0.07000000,-3.6860819458e-04,5.00000000e-03
0.07500000,-1.5243464984e-04,5.00000000e-03
0.08000000,-6.3088028892e-05,5.00000000e-03
0.08500000,-3.7766624081e-04,5.00000000e-03
0.09000000,-1.6749515743e-04,5.00000000e-03
0.09500000,-8.7505475830e-06,5.00000000e-03
0.10000000,-4.3121006640e-04,5.00000000e-03
0.10500000,-1.1899288446e-04,5.00000000e-03
0.11000000,2.3614543592e-05,5.00000000e-03
0.11500000,-5.1065470269e-04,5.00000000e-03
0.12000000,8.5130994257e-05,5.00000000e-03
0.12500000,8.6608756020e-05,5.00000000e-03
0.13000000,-3.9634016744e-04,5.00000000e-03
0.13500000,6.7201677949e-04,5.00000000e-03
0.14000000,1.0410720672e-04,5.00000000e-03
0.14500000,-4.4879200748e-04,5.00000000e-03
0.15000000,5.0697124356e-04,5.00000000e-03
0.15500000,-6.8542415831e-04,5.00000000e-03
0.16000000,3.4940689367e-04,5.00000000e-03
0.16500000,1.2130748051e-03,5.00000000e-03
0.17000000,-1.8085705046e-03,5.00000000e-03
0.17500000,6.6666499358e-04,5.00000000e-03
0.18000000,1.0553676863e-03,5.00000000e-03
0.18500000,-9.7166004915e-04,5.00000000e-03
0.19000000,6.2723265807e-04,5.00000000e-03
0.19500000,-7.7878352118e-04,5.00000000e-03
0.20000000,1.1040656768e-03,5.00000000e-03
0.20500000,4.4499107673e-04,5.00000000e-03
0.21000000,-2.7954720025e-03,5.00000000e-03
0.21500000,3.6691772142e-03,5.00000000e-03
0.22000000,-1.6288046740e-03,5.00000000e-03
0.22500000,-3.7643622919e-03,5.00000000e-03
0.23000000,4.8990613429e-03,5.00000000e-03
0.23500000,-2.7078968324e-03,5.00000000e-03
0.24000000,-1.9418659760e-03,5.00000000e-03
0.24500000,3.4831289063e-03,5.00000000e-03
0.25000000,-3.4501314722e-03,5.00000000e-03
0.25500000,-8.2558878864e-05,5.00000000e-03
0.26000000,2.4786619644e-03,5.00000000e-03
0.26500000,-1.8048732456e-03,5.00000000e-03
0.27000000,-1.5246121319e-03,5.00000000e-03
0.27500000,1.2080947543e-03,5.00000000e-03
0.28000000,1.3203873882e-03,5.00000000e-03
0.28500000,-2.6756539178e-03,5.00000000e-03
0.29000000,1.1260150469e-03,5.00000000e-03
0.29500000,1.4891637951e-03,5.00000000e-03
0.30000000,-2.6103224461e-03,5.00000000e-03
0.30500000,4.5031029223e-03,5.00000000e-03
0.31000000,-3.6182487658e-03,5.00000000e-03
0.31500000,-1.2231551963e-03,5.00000000e-03
0.32000000,5.9222371244e-03,5.00000000e-03
0.32500000,-7.9068522114e-03,5.00000000e-03
0.33000000,3.5442496137e-03,5.00000000e-03
0.33500000,6.1671146346e-03,5.00000000e-03
0.34000000,-9.0550815217e-03,5.00000000e-03
